
==================================== 
Table of 120 limit 200
====================================
120 x 1 = 120
120 x 2 = 240
120 x 3 = 360
120 x 4 = 480
120 x 5 = 600
120 x 6 = 720
120 x 7 = 840
120 x 8 = 960
120 x 9 = 1080
120 x 10 = 1200
120 x 11 = 1320
120 x 12 = 1440
120 x 13 = 1560
120 x 14 = 1680
120 x 15 = 1800
120 x 16 = 1920
120 x 17 = 2040
120 x 18 = 2160
120 x 19 = 2280
120 x 20 = 2400
120 x 21 = 2520
120 x 22 = 2640
120 x 23 = 2760
120 x 24 = 2880
120 x 25 = 3000
120 x 26 = 3120
120 x 27 = 3240
120 x 28 = 3360
120 x 29 = 3480
120 x 30 = 3600
120 x 31 = 3720
120 x 32 = 3840
120 x 33 = 3960
120 x 34 = 4080
120 x 35 = 4200
120 x 36 = 4320
120 x 37 = 4440
120 x 38 = 4560
120 x 39 = 4680
120 x 40 = 4800
120 x 41 = 4920
120 x 42 = 5040
120 x 43 = 5160
120 x 44 = 5280
120 x 45 = 5400
120 x 46 = 5520
120 x 47 = 5640
120 x 48 = 5760
120 x 49 = 5880
120 x 50 = 6000
120 x 51 = 6120
120 x 52 = 6240
120 x 53 = 6360
120 x 54 = 6480
120 x 55 = 6600
120 x 56 = 6720
120 x 57 = 6840
120 x 58 = 6960
120 x 59 = 7080
120 x 60 = 7200
120 x 61 = 7320
120 x 62 = 7440
120 x 63 = 7560
120 x 64 = 7680
120 x 65 = 7800
120 x 66 = 7920
120 x 67 = 8040
120 x 68 = 8160
120 x 69 = 8280
120 x 70 = 8400
120 x 71 = 8520
120 x 72 = 8640
120 x 73 = 8760
120 x 74 = 8880
120 x 75 = 9000
120 x 76 = 9120
120 x 77 = 9240
120 x 78 = 9360
120 x 79 = 9480
120 x 80 = 9600
120 x 81 = 9720
120 x 82 = 9840
120 x 83 = 9960
120 x 84 = 10080
120 x 85 = 10200
120 x 86 = 10320
120 x 87 = 10440
120 x 88 = 10560
120 x 89 = 10680
120 x 90 = 10800
120 x 91 = 10920
120 x 92 = 11040
120 x 93 = 11160
120 x 94 = 11280
120 x 95 = 11400
120 x 96 = 11520
120 x 97 = 11640
120 x 98 = 11760
120 x 99 = 11880
120 x 100 = 12000
120 x 101 = 12120
120 x 102 = 12240
120 x 103 = 12360
120 x 104 = 12480
120 x 105 = 12600
120 x 106 = 12720
120 x 107 = 12840
120 x 108 = 12960
120 x 109 = 13080
120 x 110 = 13200
120 x 111 = 13320
120 x 112 = 13440
120 x 113 = 13560
120 x 114 = 13680
120 x 115 = 13800
120 x 116 = 13920
120 x 117 = 14040
120 x 118 = 14160
120 x 119 = 14280
120 x 120 = 14400
120 x 121 = 14520
120 x 122 = 14640
120 x 123 = 14760
120 x 124 = 14880
120 x 125 = 15000
120 x 126 = 15120
120 x 127 = 15240
120 x 128 = 15360
120 x 129 = 15480
120 x 130 = 15600
120 x 131 = 15720
120 x 132 = 15840
120 x 133 = 15960
120 x 134 = 16080
120 x 135 = 16200
120 x 136 = 16320
120 x 137 = 16440
120 x 138 = 16560
120 x 139 = 16680
120 x 140 = 16800
120 x 141 = 16920
120 x 142 = 17040
120 x 143 = 17160
120 x 144 = 17280
120 x 145 = 17400
120 x 146 = 17520
120 x 147 = 17640
120 x 148 = 17760
120 x 149 = 17880
120 x 150 = 18000
120 x 151 = 18120
120 x 152 = 18240
120 x 153 = 18360
120 x 154 = 18480
120 x 155 = 18600
120 x 156 = 18720
120 x 157 = 18840
120 x 158 = 18960
120 x 159 = 19080
120 x 160 = 19200
120 x 161 = 19320
120 x 162 = 19440
120 x 163 = 19560
120 x 164 = 19680
120 x 165 = 19800
120 x 166 = 19920
120 x 167 = 20040
120 x 168 = 20160
120 x 169 = 20280
120 x 170 = 20400
120 x 171 = 20520
120 x 172 = 20640
120 x 173 = 20760
120 x 174 = 20880
120 x 175 = 21000
120 x 176 = 21120
120 x 177 = 21240
120 x 178 = 21360
120 x 179 = 21480
120 x 180 = 21600
120 x 181 = 21720
120 x 182 = 21840
120 x 183 = 21960
120 x 184 = 22080
120 x 185 = 22200
120 x 186 = 22320
120 x 187 = 22440
120 x 188 = 22560
120 x 189 = 22680
120 x 190 = 22800
120 x 191 = 22920
120 x 192 = 23040
120 x 193 = 23160
120 x 194 = 23280
120 x 195 = 23400
120 x 196 = 23520
120 x 197 = 23640
120 x 198 = 23760
120 x 199 = 23880
120 x 200 = 24000
